frame,n_detections,classes,weather
0,1,bench,ClearNight
1,2,bench|traffic light,ClearNight
2,2,traffic light|bench,ClearNight
3,2,traffic light|bench,ClearNight
4,2,bench|traffic light,ClearNight
5,1,traffic light,ClearNight
6,2,traffic light|bench,ClearNight
7,2,bench|traffic light,ClearNight
8,3,bench|traffic light|bench,ClearNight
9,2,bench|traffic light,ClearNight
10,2,bench|traffic light,ClearNight
11,2,bench|traffic light,ClearNight
12,3,bench|traffic light|traffic light,ClearNight
13,3,traffic light|bench|traffic light,ClearNight
14,2,bench|traffic light,ClearNight
15,3,traffic light|bench|traffic light,ClearNight
16,1,traffic light,ClearNight
17,1,bench,ClearNight
18,3,traffic light|traffic light|bench,ClearNight
19,2,traffic light|bench,ClearNight
20,2,bench|traffic light,ClearNight
21,2,traffic light|bench,ClearNight
22,2,traffic light|traffic light,ClearNight
23,2,traffic light|bench,ClearNight
24,2,traffic light|traffic light,ClearNight
25,2,traffic light|traffic light,ClearNight
26,2,traffic light|bench,ClearNight
27,1,traffic light,ClearNight
28,1,traffic light,ClearNight
29,0,,ClearNight
30,2,traffic light|traffic light,ClearNight
31,1,traffic light,ClearNight
32,1,traffic light,ClearNight
33,1,traffic light,ClearNight
34,0,,ClearNight
35,1,traffic light,ClearNight
36,1,traffic light,ClearNight
37,2,traffic light|traffic light,ClearNight
38,1,traffic light,ClearNight
39,1,traffic light,ClearNight
40,3,bench|traffic light|traffic light,ClearNight
41,1,traffic light,ClearNight
42,1,traffic light,ClearNight
43,1,traffic light,ClearNight
44,2,traffic light|traffic light,ClearNight
45,1,traffic light,ClearNight
46,0,,ClearNight
47,1,person,ClearNight
48,0,,ClearNight
49,0,,ClearNight
50,2,traffic light|traffic light,ClearNight
51,1,traffic light,ClearNight
52,0,,ClearNight
53,0,,ClearNight
54,0,,ClearNight
55,0,,ClearNight
56,0,,ClearNight
57,1,traffic light,ClearNight
58,0,,ClearNight
59,1,traffic light,ClearNight
60,2,traffic light|traffic light,ClearNight
61,2,traffic light|traffic light,ClearNight
62,1,traffic light,ClearNight
63,0,,ClearNight
64,2,traffic light|traffic light,ClearNight
65,2,traffic light|traffic light,ClearNight
66,3,traffic light|traffic light|traffic light,ClearNight
67,2,traffic light|traffic light,ClearNight
68,2,traffic light|traffic light,ClearNight
69,3,traffic light|traffic light|traffic light,ClearNight
70,4,traffic light|traffic light|traffic light|traffic light,ClearNight
71,2,traffic light|traffic light,ClearNight
72,3,traffic light|traffic light|traffic light,ClearNight
73,4,traffic light|traffic light|traffic light|traffic light,ClearNight
74,3,traffic light|traffic light|traffic light,ClearNight
75,4,traffic light|traffic light|traffic light|traffic light,ClearNight
76,3,traffic light|traffic light|traffic light,ClearNight
77,5,traffic light|traffic light|traffic light|traffic light|traffic light,ClearNight
78,4,traffic light|traffic light|traffic light|traffic light,ClearNight
79,3,traffic light|traffic light|traffic light,ClearNight
80,5,traffic light|traffic light|traffic light|traffic light|traffic light,ClearNight
81,4,traffic light|traffic light|traffic light|traffic light,ClearNight
82,5,traffic light|traffic light|traffic light|traffic light|traffic light,ClearNight
83,4,traffic light|traffic light|traffic light|traffic light,ClearNight
84,3,traffic light|traffic light|traffic light,ClearNight
85,4,traffic light|traffic light|traffic light|traffic light,ClearNight
86,3,traffic light|traffic light|traffic light,ClearNight
87,2,traffic light|traffic light,ClearNight
88,1,traffic light,ClearNight
89,2,traffic light|traffic light,ClearNight
90,1,traffic light,ClearNight
91,3,traffic light|traffic light|traffic light,ClearNight
92,2,traffic light|traffic light,ClearNight
93,4,traffic light|traffic light|traffic light|traffic light,ClearNight
94,3,traffic light|traffic light|traffic light,ClearNight
95,4,traffic light|traffic light|traffic light|traffic light,ClearNight
96,4,traffic light|traffic light|traffic light|traffic light,ClearNight
97,4,traffic light|traffic light|traffic light|traffic light,ClearNight
98,4,traffic light|traffic light|traffic light|traffic light,ClearNight
99,5,traffic light|traffic light|traffic light|traffic light|traffic light,ClearNight
100,5,traffic light|traffic light|traffic light|traffic light|traffic light,ClearNight
101,6,traffic light|traffic light|traffic light|traffic light|traffic light|traffic light,ClearNight
102,5,traffic light|traffic light|traffic light|traffic light|traffic light,ClearNight
103,3,traffic light|traffic light|traffic light,ClearNight
104,3,traffic light|traffic light|traffic light,ClearNight
105,3,traffic light|traffic light|traffic light,ClearNight
106,5,traffic light|traffic light|traffic light|traffic light|traffic light,ClearNight
107,4,traffic light|traffic light|traffic light|traffic light,ClearNight
108,2,traffic light|traffic light,ClearNight
109,5,traffic light|traffic light|traffic light|traffic light|traffic light,ClearNight
110,2,traffic light|traffic light,ClearNight
111,3,traffic light|traffic light|traffic light,ClearNight
112,4,traffic light|traffic light|traffic light|traffic light,ClearNight
113,3,traffic light|traffic light|traffic light,ClearNight
114,4,traffic light|traffic light|car|traffic light,ClearNight
115,6,traffic light|traffic light|car|traffic light|traffic light|traffic light,ClearNight
116,3,traffic light|traffic light|traffic light,ClearNight
117,3,traffic light|traffic light|traffic light,ClearNight
118,5,traffic light|traffic light|traffic light|traffic light|traffic light,ClearNight
119,5,traffic light|traffic light|traffic light|traffic light|car,ClearNight
120,3,traffic light|traffic light|traffic light,ClearNight
121,3,traffic light|traffic light|traffic light,ClearNight
122,3,traffic light|traffic light|traffic light,ClearNight
123,5,traffic light|traffic light|traffic light|traffic light|traffic light,ClearNight
124,4,traffic light|traffic light|traffic light|traffic light,ClearNight
125,5,traffic light|traffic light|traffic light|traffic light|traffic light,ClearNight
126,4,traffic light|traffic light|traffic light|traffic light,ClearNight
127,4,traffic light|traffic light|traffic light|traffic light,ClearNight
128,5,traffic light|traffic light|traffic light|traffic light|traffic light,ClearNight
129,2,traffic light|traffic light,ClearNight
130,4,traffic light|traffic light|traffic light|traffic light,ClearNight
131,4,traffic light|traffic light|traffic light|traffic light,ClearNight
132,2,traffic light|traffic light,ClearNight
133,2,traffic light|traffic light,ClearNight
134,2,traffic light|traffic light,ClearNight
135,3,traffic light|traffic light|traffic light,ClearNight
136,6,traffic light|traffic light|traffic light|traffic light|umbrella|traffic light,ClearNight
137,4,traffic light|traffic light|traffic light|traffic light,ClearNight
138,4,traffic light|traffic light|traffic light|traffic light,ClearNight
139,3,traffic light|traffic light|traffic light,ClearNight
140,5,traffic light|traffic light|traffic light|traffic light|traffic light,ClearNight
141,5,traffic light|traffic light|traffic light|traffic light|traffic light,ClearNight
142,4,traffic light|traffic light|traffic light|traffic light,ClearNight
143,5,traffic light|traffic light|person|traffic light|traffic light,ClearNight
144,4,traffic light|traffic light|person|traffic light,ClearNight
145,4,traffic light|traffic light|traffic light|traffic light,ClearNight
146,4,traffic light|traffic light|traffic light|stop sign,ClearNight
