frame,n_detections,classes,weather
0,2,truck|person,ClearNoon
1,1,truck,ClearNoon
2,1,person,ClearNoon
3,1,person,ClearNoon
4,1,person,ClearNoon
5,3,person|truck|person,ClearNoon
6,0,,ClearNoon
7,2,person|person,ClearNoon
8,2,person|person,ClearNoon
9,2,person|truck,ClearNoon
10,0,,ClearNoon
11,0,,ClearNoon
12,2,person|person,ClearNoon
13,2,person|person,ClearNoon
14,0,,ClearNoon
15,3,person|person|truck,ClearNoon
16,3,truck|person|person,ClearNoon
17,2,traffic light|person,ClearNoon
18,3,person|truck|bench,ClearNoon
19,2,truck|person,ClearNoon
20,2,person|person,ClearNoon
21,1,person,ClearNoon
22,0,,ClearNoon
23,2,truck|bench,ClearNoon
24,1,truck,ClearNoon
25,1,truck,ClearNoon
26,3,truck|traffic light|person,ClearNoon
27,1,truck,ClearNoon
28,1,truck,ClearNoon
29,1,truck,ClearNoon
30,4,truck|person|car|person,ClearNoon
31,5,person|person|truck|car|traffic light,ClearNoon
32,1,truck,ClearNoon
33,2,truck|truck,ClearNoon
34,2,car|truck,ClearNoon
35,2,truck|truck,ClearNoon
36,2,truck|truck,ClearNoon
37,1,truck,ClearNoon
38,3,person|person|person,ClearNoon
39,2,truck|person,ClearNoon
40,3,truck|person|traffic light,ClearNoon
41,1,truck,ClearNoon
42,2,truck|truck,ClearNoon
43,2,truck|truck,ClearNoon
44,3,truck|truck|person,ClearNoon
45,1,person,ClearNoon
46,2,truck|person,ClearNoon
47,1,truck,ClearNoon
48,5,truck|car|traffic light|person|traffic light,ClearNoon
49,2,traffic light|person,ClearNoon
50,1,person,ClearNoon
51,3,person|truck|traffic light,ClearNoon
52,3,person|traffic light|person,ClearNoon
53,3,traffic light|traffic light|person,ClearNoon
54,3,traffic light|truck|person,ClearNoon
55,3,truck|truck|person,ClearNoon
56,2,truck|person,ClearNoon
57,4,truck|person|car|traffic light,ClearNoon
58,2,truck|person,ClearNoon
59,4,truck|person|car|traffic light,ClearNoon
60,5,truck|traffic light|truck|person|car,ClearNoon
61,3,truck|person|truck,ClearNoon
62,3,truck|person|traffic light,ClearNoon
63,5,traffic light|truck|truck|person|traffic light,ClearNoon
64,3,traffic light|truck|person,ClearNoon
65,6,traffic light|person|car|traffic light|person|truck,ClearNoon
66,4,truck|traffic light|traffic light|person,ClearNoon
67,5,car|traffic light|person|traffic light|car,ClearNoon
68,5,car|traffic light|person|car|traffic light,ClearNoon
69,4,traffic light|car|car|person,ClearNoon
70,3,car|person|traffic light,ClearNoon
71,3,car|person|traffic light,ClearNoon
72,4,car|car|traffic light|traffic light,ClearNoon
73,5,car|car|traffic light|traffic light|truck,ClearNoon
74,5,car|traffic light|car|truck|traffic light,ClearNoon
75,7,car|traffic light|truck|traffic light|person|car|traffic light,ClearNoon
76,6,traffic light|car|car|traffic light|truck|traffic light,ClearNoon
77,4,car|traffic light|traffic light|person,ClearNoon
78,6,bus|traffic light|traffic light|truck|car|car,ClearNoon
79,3,traffic light|traffic light|car,ClearNoon
80,4,car|traffic light|traffic light|truck,ClearNoon
81,5,traffic light|car|car|person|traffic light,ClearNoon
82,5,traffic light|traffic light|truck|car|car,ClearNoon
83,4,traffic light|car|traffic light|car,ClearNoon
84,4,traffic light|person|traffic light|car,ClearNoon
85,4,traffic light|car|car|car,ClearNoon
86,4,traffic light|traffic light|car|car,ClearNoon
87,3,traffic light|car|car,ClearNoon
88,3,car|car|car,ClearNoon
89,3,traffic light|car|car,ClearNoon
90,3,traffic light|car|car,ClearNoon
91,4,traffic light|car|car|truck,ClearNoon
92,4,traffic light|car|truck|car,ClearNoon
93,4,traffic light|car|traffic light|car,ClearNoon
94,4,traffic light|car|truck|bus,ClearNoon
95,4,traffic light|car|truck|car,ClearNoon
96,3,traffic light|car|truck,ClearNoon
97,3,traffic light|car|car,ClearNoon
98,4,traffic light|car|car|traffic light,ClearNoon
99,5,traffic light|car|car|car|truck,ClearNoon
100,3,traffic light|car|car,ClearNoon
101,4,traffic light|car|car|truck,ClearNoon
102,3,traffic light|car|car,ClearNoon
103,4,traffic light|truck|car|car,ClearNoon
104,5,traffic light|car|car|truck|car,ClearNoon
105,5,traffic light|car|car|car|truck,ClearNoon
106,4,traffic light|truck|car|car,ClearNoon
107,4,traffic light|car|car|truck,ClearNoon
108,5,traffic light|car|car|truck|car,ClearNoon
109,5,traffic light|car|car|car|truck,ClearNoon
110,4,traffic light|car|truck|car,ClearNoon
111,5,traffic light|car|car|car|truck,ClearNoon
112,4,traffic light|car|car|truck,ClearNoon
113,5,traffic light|car|car|truck|bus,ClearNoon
114,3,traffic light|car|car,ClearNoon
115,4,traffic light|car|car|truck,ClearNoon
116,4,traffic light|car|car|car,ClearNoon
117,4,traffic light|car|car|car,ClearNoon
118,5,traffic light|car|car|car|car,ClearNoon
119,5,traffic light|car|car|truck|car,ClearNoon
120,5,traffic light|car|car|car|bus,ClearNoon
121,4,bus|traffic light|car|car,ClearNoon
122,4,bus|traffic light|car|car,ClearNoon
123,5,traffic light|bus|car|car|truck,ClearNoon
124,5,traffic light|car|bus|truck|car,ClearNoon
125,5,traffic light|bus|car|car|truck,ClearNoon
126,4,traffic light|car|car|truck,ClearNoon
127,4,traffic light|car|car|car,ClearNoon
128,4,traffic light|car|car|car,ClearNoon
129,5,traffic light|car|car|car|truck,ClearNoon
130,4,bus|traffic light|car|car,ClearNoon
131,4,bus|traffic light|car|car,ClearNoon
132,4,traffic light|truck|car|car,ClearNoon
133,6,traffic light|car|bus|car|truck|car,ClearNoon
134,5,traffic light|car|truck|bus|car,ClearNoon
135,4,car|traffic light|car|car,ClearNoon
136,6,bus|traffic light|car|car|traffic light|person,ClearNoon
137,8,traffic light|bus|car|car|truck|traffic light|car|person,ClearNoon
138,5,bus|traffic light|car|car|traffic light,ClearNoon
139,6,bus|traffic light|car|car|person|traffic light,ClearNoon
140,4,bus|traffic light|car|car,ClearNoon
141,4,bus|traffic light|car|car,ClearNoon
142,4,bus|traffic light|car|car,ClearNoon
143,4,bus|traffic light|car|car,ClearNoon
144,4,bus|traffic light|car|car,ClearNoon
145,4,bus|traffic light|car|car,ClearNoon
146,4,bus|traffic light|car|car,ClearNoon
147,4,bus|traffic light|car|car,ClearNoon
148,5,bus|traffic light|car|car|car,ClearNoon
149,4,bus|traffic light|car|car,ClearNoon
150,5,bus|traffic light|car|car|car,ClearNoon
151,4,bus|car|car|traffic light,ClearNoon
152,4,bus|car|car|traffic light,ClearNoon
153,5,bus|car|truck|traffic light|car,ClearNoon
154,4,bus|traffic light|car|car,ClearNoon
155,4,bus|car|car|traffic light,ClearNoon
156,4,truck|traffic light|car|car,ClearNoon
157,4,traffic light|car|car|truck,ClearNoon
158,4,traffic light|car|car|car,ClearNoon
159,4,traffic light|car|car|car,ClearNoon
160,3,traffic light|car|car,ClearNoon
161,3,traffic light|car|car,ClearNoon
162,3,traffic light|car|car,ClearNoon
163,4,traffic light|car|car|traffic light,ClearNoon
164,3,traffic light|car|car,ClearNoon
165,3,traffic light|car|car,ClearNoon
166,3,traffic light|car|car,ClearNoon
167,3,traffic light|car|car,ClearNoon
168,3,traffic light|car|car,ClearNoon
169,3,traffic light|car|car,ClearNoon
170,3,traffic light|car|car,ClearNoon
171,3,traffic light|car|car,ClearNoon
172,3,traffic light|car|car,ClearNoon
173,3,traffic light|car|car,ClearNoon
174,3,traffic light|car|car,ClearNoon
175,3,traffic light|car|car,ClearNoon
176,3,traffic light|car|car,ClearNoon
177,3,traffic light|car|car,ClearNoon
178,3,traffic light|car|car,ClearNoon
179,3,traffic light|car|car,ClearNoon
180,3,traffic light|car|car,ClearNoon
181,3,traffic light|car|car,ClearNoon
182,3,traffic light|car|car,ClearNoon
183,3,traffic light|car|car,ClearNoon
184,3,traffic light|car|car,ClearNoon
185,3,traffic light|car|car,ClearNoon
186,3,traffic light|car|car,ClearNoon
187,3,traffic light|car|car,ClearNoon
188,4,traffic light|car|car|car,ClearNoon
189,3,traffic light|car|car,ClearNoon
190,3,traffic light|car|car,ClearNoon
191,3,traffic light|car|car,ClearNoon
192,3,traffic light|car|car,ClearNoon
193,3,traffic light|car|car,ClearNoon
194,3,traffic light|car|car,ClearNoon
195,3,traffic light|car|car,ClearNoon
196,4,traffic light|car|car|traffic light,ClearNoon
197,3,traffic light|car|car,ClearNoon
198,4,traffic light|car|car|car,ClearNoon
199,4,traffic light|car|car|car,ClearNoon
200,3,traffic light|car|car,ClearNoon
201,4,traffic light|car|car|car,ClearNoon
202,3,traffic light|car|car,ClearNoon
203,4,traffic light|car|car|traffic light,ClearNoon
204,3,traffic light|car|car,ClearNoon
205,3,traffic light|car|car,ClearNoon
206,3,traffic light|car|car,ClearNoon
207,3,traffic light|car|car,ClearNoon
208,3,traffic light|car|car,ClearNoon
209,4,traffic light|car|car|car,ClearNoon
210,3,traffic light|car|car,ClearNoon
211,3,traffic light|car|car,ClearNoon
212,3,traffic light|car|car,ClearNoon
213,3,traffic light|car|car,ClearNoon
214,3,traffic light|car|car,ClearNoon
215,3,traffic light|car|car,ClearNoon
216,3,traffic light|car|car,ClearNoon
217,4,traffic light|car|car|car,ClearNoon
218,3,traffic light|car|car,ClearNoon
219,3,traffic light|car|car,ClearNoon
220,3,traffic light|car|car,ClearNoon
221,3,traffic light|car|car,ClearNoon
222,3,traffic light|car|car,ClearNoon
223,3,traffic light|car|car,ClearNoon
224,3,traffic light|car|car,ClearNoon
225,3,traffic light|car|car,ClearNoon
226,3,traffic light|car|car,ClearNoon
227,3,traffic light|car|car,ClearNoon
228,4,traffic light|car|car|car,ClearNoon
229,3,traffic light|car|car,ClearNoon
