frame,n_detections,classes,weather
0,0,,HardRainNoon
1,1,traffic light,HardRainNoon
2,2,traffic light|traffic light,HardRainNoon
3,2,traffic light|traffic light,HardRainNoon
4,1,traffic light,HardRainNoon
5,0,,HardRainNoon
6,0,,HardRainNoon
7,0,,HardRainNoon
8,0,,HardRainNoon
9,1,clock,HardRainNoon
10,0,,HardRainNoon
11,1,traffic light,HardRainNoon
12,0,,HardRainNoon
13,1,traffic light,HardRainNoon
14,1,traffic light,HardRainNoon
15,1,traffic light,HardRainNoon
16,0,,HardRainNoon
17,1,bench,HardRainNoon
18,0,,HardRainNoon
19,0,,HardRainNoon
20,1,bench,HardRainNoon
21,4,traffic light|traffic light|traffic light|bench,HardRainNoon
22,2,bench|traffic light,HardRainNoon
23,3,bench|traffic light|traffic light,HardRainNoon
24,1,bench,HardRainNoon
25,1,bench,HardRainNoon
26,1,traffic light,HardRainNoon
27,0,,HardRainNoon
28,2,traffic light|person,HardRainNoon
29,1,traffic light,HardRainNoon
30,1,traffic light,HardRainNoon
31,0,,HardRainNoon
32,1,traffic light,HardRainNoon
33,1,traffic light,HardRainNoon
34,2,traffic light|traffic light,HardRainNoon
35,1,person,HardRainNoon
36,2,traffic light|traffic light,HardRainNoon
37,0,,HardRainNoon
38,0,,HardRainNoon
39,1,traffic light,HardRainNoon
40,1,traffic light,HardRainNoon
41,1,traffic light,HardRainNoon
42,1,traffic light,HardRainNoon
43,1,traffic light,HardRainNoon
44,1,traffic light,HardRainNoon
45,1,traffic light,HardRainNoon
46,2,traffic light|person,HardRainNoon
47,4,bus|traffic light|person|traffic light,HardRainNoon
48,2,bus|person,HardRainNoon
49,2,clock|bus,HardRainNoon
50,2,traffic light|person,HardRainNoon
51,2,traffic light|bus,HardRainNoon
52,2,traffic light|traffic light,HardRainNoon
53,3,traffic light|bus|person,HardRainNoon
54,2,bench|traffic light,HardRainNoon
55,0,,HardRainNoon
56,0,,HardRainNoon
57,0,,HardRainNoon
58,0,,HardRainNoon
59,0,,HardRainNoon
60,0,,HardRainNoon
61,1,car,HardRainNoon
62,0,,HardRainNoon
63,1,car,HardRainNoon
64,1,car,HardRainNoon
65,1,car,HardRainNoon
66,1,car,HardRainNoon
67,1,car,HardRainNoon
68,1,car,HardRainNoon
69,1,car,HardRainNoon
70,1,car,HardRainNoon
71,3,car|traffic light|traffic light,HardRainNoon
72,2,potted plant|car,HardRainNoon
73,1,car,HardRainNoon
74,1,person,HardRainNoon
75,0,,HardRainNoon
76,0,,HardRainNoon
77,0,,HardRainNoon
78,1,car,HardRainNoon
79,1,car,HardRainNoon
80,2,car|traffic light,HardRainNoon
81,1,car,HardRainNoon
82,1,car,HardRainNoon
83,4,car|car|person|car,HardRainNoon
84,1,car,HardRainNoon
85,1,car,HardRainNoon
86,2,person|car,HardRainNoon
87,3,car|car|car,HardRainNoon
88,3,car|car|car,HardRainNoon
89,3,car|car|bench,HardRainNoon
90,3,car|car|car,HardRainNoon
91,4,car|car|person|car,HardRainNoon
92,2,car|car,HardRainNoon
93,2,car|car,HardRainNoon
94,2,car|car,HardRainNoon
